sample	guide	cell_line	batch	seqnum
MN07_gRNA1_Rep1_snRNA_org_hiPS6_LV3822_L1_CRISPRi_d15_batch2	gRNA2	hiPS6	2	 MN07_Seq322_CTG2024_114_10X
MN07_gRNA1_Rep2_snRNA_org_hiPS6_LV3822_L1_CRISPRi_d15_batch2	gRNA2	hiPS6	4	2024_159
MN07_gRNA1_Rep3_snRNA_org_hiPS6_LV3822_L1_CRISPRi_d15_batch2	gRNA2	hiPS6	4	2024_159
MN07_gRNA3_Rep1_snRNA_org_hiPS6_LV3824_L1_CRISPRi_d15_batch2	gRNA1	hiPS6	2	 MN07_Seq322_CTG2024_114_10X
MN07_gRNA3_Rep2_snRNA_org_hiPS6_LV3824_L1_CRISPRi_d15_batch1	gRNA1	hiPS6	3	2024_159
MN07_gRNA3_Rep2_snRNA_org_hiPS6_LV3824_L1_CRISPRi_d15_batch2	gRNA1	hiPS6	4	2024_159
MN07_gRNA3_Rep3_snRNA_org_hiPS6_LV3824_L1_CRISPRi_d15_batch2	gRNA1	hiPS6	4	2024_159
Seq254_15	gRNA1	hiPS6	1	CTG_JGJSeq253_254_258_2023_149
Seq254_14	LacZ	hiPS6	1	CTG_JGJSeq253_254_258_2023_149
MN07_LacZ_Rep1_snRNA_org_hiPS6_LV3599_L1_CRISPRi_d15_batch2	LacZ	hiPS6	2	MN07_Seq322_CTG2024_114_10X
MN07_LacZ_Rep2_snRNA_org_hiPS6_LV3599_L1_CRISPRi_d15_batch1	LacZ	hiPS6	3	2024_159
MN07_LacZ_Rep2_snRNA_org_hiPS6_LV3599_L1_CRISPRi_d15_batch2	LacZ	hiPS6	4	2024_159
MN07_LacZ_Rep3_snRNA_org_hiPS6_LV3599_L1_CRISPRi_d15_batch2	LacZ	hiPS6	4	2024_159
MN07_gRNA3_Rep1_snRNA_org_hiPS48_LV3824_L1_CRISPRi_d15_batch1	gRNA1	hiPS48	1	MN07_Seq322_CTG2024_114_10X
MN07_gRNA3_Rep2_snRNA_org_hiPS48_LV3824_L1_CRISPRi_d15_batch1	gRNA1	hiPS48	2	2024_159
MN07_gRNA1_Rep3_snRNA_org_hiPS48_LV3824_L1_CRISPRi_d15_batch1	gRNA2	hiPS48	2	2024_159
MN07_LacZ_Rep3_snRNA_org_hiPS48_LV3599_L1_CRISPRi_d15_batch1	LacZ	hiPS48	2	2024_159
MN07_LacZ_Rep2_snRNA_org_hiPS48_LV3599_L1_CRISPRi_d15_batch1	LacZ	hiPS48	2	2024_159
MN07_LacZ_Rep1_snRNA_org_hiPS48_LV3599_L1_CRISPRi_d15_batch1	LacZ	hiPS48	1	 MN07_Seq322_CTG2024_114_10X
