seg_id	seg_chrom	seg_start	seg_end	seg_name	seg_strand	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_readcount	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_readcount	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_readcount
chrX:81841154-81841254	chrX	81841154	81841254	L1HS_dup1035	.	87	4	8	0.9560439560439561	18	1	91	7	0.010869565217391304	18	30	4	2	0.8823529411764706	6	3	30	3	0.09090909090909091	6	195	27	18	0.8783783783783784	43	1	222	17	0.004484304932735426	43
chrX:83542397-83542497	chrX	83542397	83542497	L1HS_dup1040	.	111	20	10	0.8473282442748091	21	7	123	11	0.05384615384615385	21	56	8	6	0.875	10	2	62	6	0.03125	10	332	32	33	0.9120879120879121	60	6	360	31	0.01639344262295082	60
chrX:106469286-106469386	chrX	106469286	106469386	L1HS_dup1061	.	45	21	6	0.6818181818181818	11	6	60	6	0.09090909090909091	11	35	3	3	0.9210526315789473	6	2	37	2	0.05128205128205128	6	310	20	30	0.9393939393939394	54	7	328	25	0.020895522388059702	54
chrX:127362224-127362324	chrX	127362224	127362324	L1HS_dup1076	.	107	2	8	0.981651376146789	21	2	107	8	0.01834862385321101	21	58	2	6	0.9666666666666667	11	0	60	6	0.0	11	176	11	15	0.9411764705882353	35	3	186	13	0.015873015873015872	35
chrX:142477850-142477950	chrX	142477850	142477950	L1HS_dup1089	.	125	7	3	0.946969696969697	23	3	130	2	0.022556390977443608	23	27	3	6	0.9	6	1	29	6	0.03333333333333333	6	266	8	21	0.9708029197080292	51	0	282	13	0.0	51
chrX:147653735-147653835	chrX	147653735	147653835	L1HS_dup1095	.	108	12	13	0.9	23	9	111	13	0.075	23	26	15	5	0.6341463414634146	8	4	38	4	0.09523809523809523	8	213	27	14	0.8875	44	6	233	15	0.02510460251046025	44
chrX:155521948-155522048	chrX	155521948	155522048	L1HS_dup1104	.	93	4	5	0.9587628865979382	17	3	94	5	0.030927835051546393	17	31	10	1	0.7560975609756098	7	2	39	1	0.04878048780487805	7	232	14	18	0.943089430894309	45	0	247	17	0.0	45
chrY:3443551-3443651	chrY	3443551	3443651	L1HS_dup1106	.	0	0	0	NaN	0	0	0	0	NaN	0	74	1	4	0.9866666666666667	10	0	75	4	0.0	10	0	0	0	NaN	0	0	0	0	NaN	0
chrY:5612099-5612199	chrY	5612099	5612199	L1HS_dup1111	.	9	4	2	0.6923076923076923	3	0	13	2	0.0	3	38	3	7	0.926829268292683	9	3	39	6	0.07142857142857142	9	74	8	2	0.9024390243902439	14	6	78	0	0.07142857142857142	14
chrY:9941131-9941231	chrY	9941131	9941231	L1HS_dup1116	.	0	0	0	NaN	0	0	0	0	NaN	0	34	0	1	1.0	7	0	34	1	0.0	7	0	0	0	NaN	0	0	0	0	NaN	0
chr1:218015152-218015252	chr1	218015152	218015252	L1HS_dup113	.	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0
chr10:6375567-6375667	chr10	6375567	6375667	L1HS_dup1145	.	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0
chr10:19094518-19094618	chr10	19094518	19094618	L1HS_dup1149	.	109	1	9	0.990909090909091	25	0	111	8	0.0	25	48	5	3	0.9056603773584906	12	5	48	3	0.09433962264150944	12	172	11	19	0.9398907103825137	42	8	180	14	0.0425531914893617	42
chr11:48853624-48853724	chr11	48853624	48853724	L1HS_dup1224	.	104	13	6	0.8888888888888888	32	1	115	7	0.008620689655172414	32	44	6	6	0.88	15	2	48	6	0.04	15	269	32	21	0.893687707641196	86	1	300	21	0.0033222591362126247	86
