seg_id	seg_chrom	seg_start	seg_end	seg_name	seg_strand	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_readcount	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_readcount	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_readcount
chrX:64019186-64019286	chrX	64019186	64019286	L1HS_dup1005	.	3	111	5	0.02631578947368421	18	100	14	5	0.8771929824561403	18	2	51	7	0.03773584905660377	9	45	8	7	0.8490566037735849	9	3	255	23	0.011627906976744186	45	240	17	24	0.933852140077821	45
chrX:66186628-66186728	chrX	66186628	66186728	L1HS_dup1014	.	6	79	7	0.07058823529411765	16	57	29	6	0.6627906976744186	16	1	22	1	0.043478260869565216	4	22	1	1	0.9565217391304348	4	14	300	21	0.044585987261146494	58	283	29	23	0.907051282051282	58
chrX:73106143-73106243	chrX	73106143	73106243	L1HS_dup1019	.	4	122	11	0.031746031746031744	29	111	17	9	0.8671875	29	3	22	0	0.12	5	21	4	0	0.84	5	6	212	9	0.027522935779816515	46	196	21	10	0.9032258064516129	46
chr1:196225302-196225402	chr1	196225302	196225402	L1HS_dup102	.	3	155	7	0.0189873417721519	28	152	6	7	0.9620253164556962	28	5	136	13	0.03546099290780142	26	133	9	12	0.9366197183098591	26	5	264	18	0.01858736059479554	49	261	7	19	0.9738805970149254	49
chrX:73380992-73381092	chrX	73380992	73381092	L1HS_dup1020	.	1	90	9	0.01098901098901099	17	83	7	10	0.9222222222222223	17	1	54	2	0.01818181818181818	10	53	3	1	0.9464285714285714	10	3	284	24	0.010452961672473868	56	269	18	24	0.9372822299651568	56
chrX:76328706-76328806	chrX	76328706	76328806	L1HS_dup1024	.	2	109	3	0.018018018018018018	17	103	8	3	0.9279279279279279	17	0	54	2	0.0	8	53	0	3	1.0	8	2	370	29	0.005376344086021506	60	345	27	29	0.9274193548387096	60
chrX:83065537-83065637	chrX	83065537	83065637	L1HS_dup1039	.	2	77	9	0.02531645569620253	16	70	10	8	0.875	16	1	61	2	0.016129032258064516	11	48	14	2	0.7741935483870968	11	1	231	19	0.004310344827586207	43	212	13	26	0.9422222222222222	43
chrX:87821408-87821508	chrX	87821408	87821508	L1HS_dup1049	.	5	93	4	0.05102040816326531	17	87	11	4	0.8877551020408163	17	1	40	1	0.024390243902439025	8	36	5	1	0.8780487804878049	8	2	275	19	0.007220216606498195	51	265	12	19	0.9566787003610109	51
chr1:197707715-197707815	chr1	197707715	197707815	L1HS_dup105	.	20	151	11	0.11695906432748537	31	127	42	13	0.7514792899408284	31	12	156	12	0.07142857142857142	31	118	47	15	0.7151515151515152	31	2	241	14	0.00823045267489712	45	238	6	13	0.9754098360655737	45
chrX:96063742-96063842	chrX	96063742	96063842	L1HS_dup1058	.	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0
chrX:119441393-119441493	chrX	119441393	119441493	L1HS_dup1070	.	6	109	6	0.05217391304347826	18	80	34	7	0.7017543859649122	18	12	62	5	0.16216216216216217	12	35	40	4	0.4666666666666667	12	11	207	17	0.05045871559633028	36	181	34	20	0.8418604651162791	36
chrX:130517378-130517478	chrX	130517378	130517478	L1HS_dup1077	.	4	101	7	0.0380952380952381	16	99	6	7	0.9428571428571428	16	11	49	10	0.18333333333333332	10	39	22	9	0.639344262295082	10	18	340	31	0.05027932960893855	57	319	34	36	0.9036827195467422	57
chrX:149184085-149184185	chrX	149184085	149184185	L1HS_dup1098	.	2	136	16	0.014492753623188406	22	115	23	16	0.8333333333333334	22	5	60	6	0.07692307692307693	11	36	29	6	0.5538461538461539	11	5	160	14	0.030303030303030304	27	119	43	17	0.7345679012345679	27
